4;8;16;32;64;128;256
0.0689;0.7562;0.0724;0.0607;0.0645;0.0648;0.07
0.0626;0.0728;0.078;0.0764;0.0739;0.0756;0.0683
0.0714;0.0576;0.07;0.599;0.0651;0.0651;0.069
0.0711;0.0642;0.0716;0.0924;0.604;0.0753;0.0638
0.0716;0.0667;0.09;0.1849;0.1078;0.5612;0.0825
0.0733;0.0862;0.0961;0.131;0.0802;0.0689;0.7093
0.1394;0.2354;0.0962;0.1412;0.0874;0.138;0.086
